"","answer","Relative","Foil1","Foil2","Foil3","Set","Target","vowel","voicing","place","manner","Foil1_Cons","Foil2_Cons","Foil3_Cons","Contrast1","Contrast2","Contrast3","TargetBroadManner","Foil1BroadManner","Foil2BroadManner","Foil3BroadManner","TargetARPABET","Foil1ARPABET","Foil2ARPABET","Foil3ARPABET","Relative_Easiness","Base-Ease","numVoicingFoils","numPlaceFoils","numMannerFoils","numMultiFoils"
"28","feel",-0.225,"kneel","meal","veal",19,"f","HF","voiceless","labiodental","fricative","N","M","V","3Features","3Features","Voicing","Fricative","Sonorant","Sonorant","Fricative","F","N","M","V",-0.166,0.034,1,0,0,2
"29","fool",0.093,"cool","pool","ghoul",16,"f","HB","voiceless","labiodental","fricative","K","P","G","2Features","Manner","3Features","Fricative","Stop","Stop","Stop","F","K","P","G",0.084,0.255,0,0,1,2
"30","fought",0.385,"caught","taught","thought",12,"f","LB","voiceless","labiodental","fricative","K","T","TH","2Features","2Features","Place","Fricative","Stop","Stop","Fricative","F","K","T","DH",0.367,-0.31,0,1,0,2
"31","gab",0.387,"dab","fab","nab",17,"g","LF","voiced","velar","stop","D","F","N","Place","3Features","2Features","Stop","Stop","Fricative","Sonorant","G","D","F","N",0.404,0.222,0,1,0,2
"32","gash",1.257,"lash","bash","dash",3,"g","LF","voiced","velar","stop","L","B","D","2Features","Place","Place","Stop","Sonorant","Stop","Stop","G","L","B","D",1.135,0.991,0,2,0,1
"33","gear",-1.542,"beer","dear","tier",5,"g","HF","voiced","velar","stop","B","D","T","Place","Place","2Features","Stop","Stop","Stop","Stop","G","B","D","T",-1.612,-1.439,0,2,0,1
"34","get",0.54,"yet","vet","net",20,"g","LF","voiced","velar","stop","J","V","N","2Features","2Features","2Features","Stop","Sonorant","Fricative","Sonorant","G","Y","V","N",0.7,0.529,0,0,0,3
"35","ghoul",-1.566,"cool","pool","fool",16,"g","HB","voiced","velar","stop","K","P","F","Voicing","2Features","3Features","Stop","Stop","Stop","Fricative","G","K","P","F",-1.414,-1.271,1,0,0,2
"36","gill",1.148,"bill","till","dill",6,"g","HF","voiced","velar","stop","B","T","D","Place","2Features","Place","Stop","Stop","Stop","Stop","G","B","T","D",1.085,1.331,0,2,0,1
"37","gob",1.329,"bob","cob","sob",7,"g","LB","voiced","velar","stop","B","K","S","Place","Voicing","3Features","Stop","Stop","Stop","Fricative","G","B","K","S",1.34,0.696,1,1,0,1
"38","ken",-0.579,"pen","then","zen",21,"k","LF","voiceless","velar","stop","P","DH","Z","Place","3Features","3Features","Stop","Stop","Fricative","Fricative","K","P","DH","Z",-0.651,-0.635,0,1,0,2
"39","kin",0.085,"sin","shin","thin",22,"k","HF","voiceless","velar","stop","S","SH","TH","2Features","2Features","2Features","Stop","Fricative","Fricative","Fricative","K","S","SH","TH",0.216,0.631,0,0,0,3
